	gene	start	end	strand	ntlen	aalen	ann_type	alt_ann	localization	function	operon	expression	cprna	msexp	mspepts	cpprot	ureacp	sdscp	meancp	hlprot	refdens	refesse	ranseps	rbs	homology	predfun	tm	sp	segtm	complex
0	MPN001	692	1834	+	1142	380.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	1.0	8.45938915379	0.2269697454	116.0	33.0	508.1	508.1	663.5	867.03	8.06	0.004	E	0.993	1.0	6.0	dnaN	0.0	0.0	o	2.0
1	MPN002	1838	2767	+	929	309.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	1.0	7.29746522369	0.1269298106	115.0	22.0	34.9	34.9	36.2	66.62	4.83	0.208	F	0.998	0.0	6.0	xdj1	0.0	0.0	o	1.0
2	MPN003	2869	4821	+	1952	650.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	2.0	8.5973147451	0.2349299546	115.0	48.0	267.8	267.8	350.9	268.72	6.07	0.003	E	0.996	1.0	6.0	gyrB	0.0	0.0	o	2.0
3	MPN004	4821	7340	+	2519	839.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	2.0	8.29761078882	0.1836297737	116.0	54.0	280.6	280.6	359.0	244.59	7.05	0.002	E	0.994	0.0	6.0	gyrA	0.0	0.0	o	2.0
4	MPN005	7312	8574	+	1262	420.0	ncbi	1	Cytoplasm	tRNA synthases	2.0	7.97463570298	0.1777352359	115.0	28.0	296.0	296.0	177.8	249.56	7.87	0.002	E	0.984	1.0	6.0	serS	0.0	0.0	o	2.0
5	MPN006	8549	9211	+	662	220.0	ncbi	1	Cytoplasm	Nucleotide metabolism/Salvage	2.0	7.67465571366	0.1347899308	115.0	16.0	68.4	68.4	86.4	89.86	6.96	0.011	E	0.976	0.0	6.0	MPN006	0.0	0.0	o	2.0
6	MPN007	9184	9945	+	761	253.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	2.0	7.0718302775	0.1242316278	99.0	13.0	19.6	19.6	13.1	27.64	5.25	0.11	E	0.962	0.0	6.0	holB	0.0	0.0	o	6.0
7	MPN008	9947	11275	+	1328	442.0	ncbi	1	Cytoplasm	tRNA modifications/processing	2.0	5.53156522007	0.03624903902	112.0	19.0	143.4	143.4	33.1	49.86	5.78	0.013	E	0.988	0.0	6.0	trmE	0.0	0.0	o	2.0
8	MPN009	11275	12060	+	785	261.0	ncbi	1	Cytoplasm	DNA synthesis/modifications/repair/conformation	2.0	4.86566512728	0.02434667187	79.0	5.0	14.8	14.8	26.1	37.29	5.42	0.554	NE	0.998	1.0	6.0	yabD	0.0	0.0	o	1.0
9	MPN010	12392	12652	+	260	86.0	ncbi	1	Cytoplasm	Conserved hypothetical proteins	3.0	6.70858155694	0.08070050935	0.0	0.0	0.0	0.0	0.0	43.7		0.67	NE	0.89	1.0	6.0	MPN010	0.0	0.0	o	1.0
