gene	start	end	strand	alt_ann
mpneu04917	38	58	+	-1
mpneu30113	33	47	-	-1
mpneu00001	49	132	+	0
mpneu09814	60	173	+	0
mpneu04918	62	94	+	-1
mpneu25195	55	69	-	-1
mpneu20061	41	109	-	0
mpneu04919	116	139	+	-1
mpneu30112	144	176	-	-1
mpneu04920	239	334	+	0
mpneu00002	250	267	+	-1
mpneu20060	317	325	-	-1
mpneu04921	335	355	+	-1
mpneu00003	343	411	+	0
mpneu09815	357	422	+	0
mpneu20059	341	400	-	0
mpneu09816	441	512	+	0
mpneu04922	452	556	+	0
mpneu30111	414	452	-	-1
mpneu00004	466	501	+	-1
mpneu20058	419	499	-	0
mpneu30110	486	506	-	-1
mpneu25194	445	546	-	0
mpneu30109	519	563	-	-1
mpneu04923	620	640	+	-1
mpneu09817	627	647	+	-1
mpneu30108	600	653	-	-1
mpneu25193	565	666	-	0
mpneu04924	692	1834	+	MPN001
mpneu09818	714	752	+	-1
mpneu25192	679	765	-	0
mpneu30107	759	779	-	-1
mpneu20057	617	784	-	0
mpneu09819	828	866	+	-1
mpneu00005	856	909	+	-1
mpneu09820	876	902	+	-1
mpneu09821	903	989	+	0
mpneu20056	863	979	-	0
mpneu30106	960	1007	-	-1
mpneu09822	1026	1115	+	0
mpneu20055	986	1105	-	0
mpneu09823	1134	1223	+	0
mpneu30105	1149	1154	-	-1
mpneu25191	826	1203	-	0
mpneu20054	1112	1213	-	0
mpneu09824	1254	1349	+	0
mpneu20053	1220	1267	-	-1
mpneu30104	1185	1280	-	0
mpneu20052	1346	1375	-	-1
mpneu25190	1252	1377	-	0
mpneu09825	1380	1388	+	-1
mpneu30103	1425	1439	-	-1
mpneu09826	1473	1499	+	-1
mpneu20051	1421	1507	-	0
mpneu09827	1524	1550	+	-1
mpneu30102	1518	1529	-	-1
mpneu20050	1529	1534	-	-1
mpneu09828	1575	1589	+	-1
mpneu20049	1547	1624	-	0
mpneu09829	1629	1643	+	-1
mpneu30101	1608	1637	-	-1
mpneu00006	1654	1662	+	-1
mpneu09830	1695	1781	+	0
mpneu20048	1640	1717	-	0
mpneu25189	1429	1719	-	0
mpneu30100	1692	1727	-	-1
mpneu25188	1750	1830	-	0
mpneu04925	1838	2767	+	MPN002
mpneu09831	1848	1859	+	-1
mpneu20047	1856	1870	-	-1
mpneu30099	1875	1880	-	-1
mpneu25187	1846	1893	-	-1
mpneu25186	1900	1905	-	-1
mpneu20046	1910	1945	-	-1
mpneu09832	1959	1991	+	-1
mpneu25185	1921	1965	-	-1
mpneu09833	2016	2198	+	0
mpneu00007	2080	2181	+	0
mpneu20045	1988	2086	-	0
mpneu20044	2105	2119	-	-1
mpneu30098	2136	2165	-	-1
mpneu25184	1978	2202	-	0
mpneu09834	2205	2306	+	0
mpneu30097	2169	2270	-	0
mpneu20043	2195	2296	-	0
mpneu09835	2325	2333	+	-1
mpneu25183	2230	2346	-	0
mpneu00008	2356	2472	+	0
mpneu25182	2347	2370	-	-1
mpneu09836	2385	2405	+	-1
mpneu09837	2421	2450	+	-1
mpneu25181	2374	2469	-	0
mpneu20042	2447	2485	-	-1
mpneu00009	2488	2538	+	-1
mpneu25180	2473	2505	-	-1
mpneu09838	2544	2777	+	0
mpneu00010	2587	2634	+	-1
mpneu00011	2686	2724	+	-1
mpneu25179	2509	2718	-	0
mpneu00012	2728	2745	+	-1
mpneu30096	2721	2750	-	-1
mpneu20041	2642	2752	-	0
mpneu09839	2784	2813	+	-1
mpneu04926	2786	2794	+	-1
mpneu04927	2795	2833	+	-1
mpneu25178	2764	2811	-	-1
mpneu09840	2817	2882	+	0
mpneu04928	2843	2932	+	0
mpneu20040	2774	2848	-	0
mpneu00013	2854	2868	+	-1
mpneu30095	2850	2864	-	-1
mpneu00014	2869	4821	+	MPN003
mpneu30094	2865	2885	-	-1
mpneu25177	2830	2892	-	0
mpneu25176	2929	2994	-	0
mpneu04929	3011	3064	+	-1
mpneu20039	2912	3022	-	0
mpneu04930	3080	3259	+	0
mpneu30093	2895	3197	-	0
mpneu25175	3061	3228	-	0
mpneu09841	3276	3359	+	0
mpneu25174	3256	3297	-	-1
mpneu04931	3323	3442	+	0
mpneu09842	3360	3449	+	0
mpneu30092	3204	3383	-	0
mpneu04932	3443	3466	+	-1
mpneu25173	3307	3462	-	0
mpneu04933	3491	3556	+	0
mpneu25172	3463	3525	-	0
mpneu09843	3534	3638	+	0
mpneu25171	3553	3573	-	-1
mpneu04934	3599	3787	+	0
mpneu30091	3426	3608	-	0
mpneu20038	3644	3667	-	-1
mpneu20037	3668	3715	-	-1
mpneu09844	3726	3731	+	-1
mpneu25170	3595	3762	-	0
mpneu04935	3806	3829	+	-1
mpneu04936	3839	3877	+	-1
mpneu20036	3884	3892	-	-1
mpneu04937	3914	3964	+	-1
mpneu25169	3874	3924	-	-1
mpneu04938	3974	4051	+	0
mpneu25168	4048	4056	-	-1
mpneu04939	4112	4141	+	-1
mpneu04940	4157	4258	+	0
mpneu20035	4031	4168	-	0
mpneu30090	3660	4184	-	0
mpneu25167	4138	4242	-	0
mpneu20034	4214	4255	-	-1
mpneu04941	4274	4330	+	-1
mpneu25166	4255	4299	-	-1
mpneu04942	4340	4450	+	0
mpneu25165	4327	4431	-	0
mpneu30089	4233	4496	-	0
mpneu30088	4497	4502	-	-1
mpneu04943	4502	4573	+	0
mpneu25164	4447	4509	-	0
mpneu20033	4466	4516	-	-1
mpneu25163	4546	4569	-	-1
mpneu09845	4578	4598	+	-1
mpneu25162	4570	4593	-	-1
mpneu30087	4530	4610	-	0
mpneu25161	4612	4617	-	-1
mpneu04944	4643	4696	+	-1
mpneu25160	4630	4653	-	-1
mpneu09846	4656	4730	+	0
mpneu04945	4706	4747	+	-1
mpneu04946	4754	4804	+	-1
mpneu30086	4620	4811	-	0
mpneu04947	4811	4882	+	0
mpneu09847	4821	7340	+	MPN004
mpneu30085	4818	4841	-	-1
mpneu00015	4843	4866	+	-1
mpneu30084	4863	4871	-	-1
mpneu25159	4744	4878	-	0
mpneu00016	4900	4908	+	-1
mpneu20032	4595	4921	-	0
mpneu00017	4927	4944	+	-1
mpneu00018	4963	5076	+	0
mpneu30083	4905	5096	-	0
mpneu20031	5012	5110	-	0
mpneu20030	5111	5119	-	-1
mpneu00019	5164	5247	+	0
mpneu30082	5160	5216	-	-1
mpneu25158	5044	5232	-	0
mpneu00020	5263	5358	+	0
mpneu20029	5219	5281	-	0
mpneu30081	5259	5318	-	0
mpneu25157	5296	5325	-	-1
mpneu00021	5362	5385	+	-1
mpneu30080	5355	5411	-	-1
mpneu00022	5449	5484	+	-1
mpneu00023	5485	5628	+	0
mpneu20028	5300	5524	-	0
mpneu20027	5528	5536	-	-1
mpneu30079	5481	5606	-	0
mpneu20026	5549	5635	-	0
mpneu00024	5671	5691	+	-1
mpneu00025	5716	5802	+	0
mpneu30078	5799	5807	-	-1
mpneu25156	5587	5859	-	0
mpneu00026	5869	5904	+	-1
mpneu25155	5863	5874	-	-1
mpneu20025	5645	5890	-	0
mpneu30077	5826	5897	-	0
mpneu00027	5929	5991	+	0
mpneu30076	5901	5984	-	0
mpneu00028	5992	6003	+	-1
mpneu00029	6004	6030	+	-1
mpneu00030	6031	6066	+	-1
mpneu30075	6000	6083	-	0
mpneu00031	6100	6147	+	-1
mpneu30074	6096	6110	-	-1
mpneu25154	6052	6114	-	0
mpneu00032	6148	6201	+	-1
mpneu30073	6168	6185	-	-1
mpneu00033	6202	6225	+	-1
mpneu30072	6198	6215	-	-1
mpneu30071	6222	6242	-	-1
mpneu00034	6286	6351	+	0
mpneu25153	6274	6297	-	-1
mpneu20024	5909	6385	-	0
mpneu20023	6392	6400	-	-1
mpneu00035	6406	6414	+	-1
mpneu30070	6348	6434	-	0
mpneu00036	6436	6462	+	-1
mpneu00037	6475	6498	+	-1
mpneu30069	6495	6512	-	-1
mpneu20022	6467	6538	-	0
mpneu30068	6522	6569	-	-1
mpneu20021	6548	6631	-	0
mpneu00038	6646	6654	+	-1
mpneu00039	6664	6729	+	0
mpneu30067	6651	6674	-	-1
mpneu04948	6692	6715	+	-1
mpneu00040	6730	7038	+	0
mpneu30066	6726	6869	-	0
mpneu04949	6932	6967	+	-1
mpneu30065	6978	6995	-	-1
mpneu00041	7048	7077	+	-1
mpneu25152	7060	7068	-	-1
mpneu00042	7096	7137	+	-1
mpneu00043	7159	7221	+	0
mpneu30064	7134	7181	-	-1
mpneu20020	6680	7291	-	0
mpneu25151	7282	7299	-	-1
mpneu00044	7312	8574	+	MPN005
mpneu04950	7343	7366	+	-1
mpneu04951	7367	7381	+	-1
mpneu04952	7382	7477	+	0
mpneu20019	7352	7423	-	0
mpneu25150	7363	7467	-	0
mpneu25149	7474	7482	-	-1
mpneu04953	7487	7519	+	-1
mpneu25148	7534	7542	-	-1
mpneu25147	7585	7593	-	-1
mpneu04954	7619	7666	+	-1
mpneu04955	7697	7747	+	-1
mpneu25146	7711	7719	-	-1
mpneu09848	7728	7760	+	-1
mpneu04956	7748	7774	+	-1
mpneu30063	7245	7766	-	0
mpneu04957	7778	7840	+	0
mpneu20018	7766	7783	-	-1
mpneu04958	7844	7957	+	0
mpneu09849	7872	7904	+	-1
mpneu30062	7794	7964	-	0
mpneu25145	7987	7998	-	-1
mpneu04959	8012	8146	+	0
mpneu30061	7971	8048	-	0
mpneu25144	7999	8106	-	0
mpneu25143	8125	8139	-	-1
mpneu09850	8160	8165	+	-1
mpneu20017	8108	8170	-	0
mpneu04960	8171	8227	+	-1
mpneu25142	8149	8217	-	0
mpneu04961	8267	8407	+	0
mpneu30060	8052	8273	-	0
mpneu09851	8310	8399	+	0
mpneu30059	8295	8327	-	-1
mpneu25141	8254	8373	-	0
mpneu20016	8279	8386	-	0
mpneu30058	8394	8417	-	-1
mpneu04962	8426	8440	+	-1
mpneu04963	8459	8515	+	-1
mpneu30057	8424	8480	-	-1
mpneu25140	8452	8526	-	0
mpneu04964	8549	9211	+	MPN006
mpneu30056	8490	8579	-	0
mpneu20015	8558	8587	-	-1
mpneu09852	8595	8606	+	-1
mpneu09853	8616	8642	+	-1
mpneu20014	8639	8668	-	-1
mpneu25139	8542	8715	-	0
mpneu09854	8751	8822	+	0
mpneu30055	8694	8768	-	0
mpneu30054	8769	8795	-	-1
mpneu25138	8779	8802	-	-1
mpneu20013	8720	8809	-	0
mpneu20012	8819	8827	-	-1
mpneu20011	8834	8842	-	-1
mpneu09855	8868	8900	+	-1
mpneu00045	8872	8880	+	-1
mpneu30053	8877	8888	-	-1
mpneu09856	8916	9008	+	0
mpneu00046	8986	9057	+	0
mpneu25137	8881	9048	-	0
mpneu20010	9038	9097	-	0
mpneu09857	9105	9131	+	-1
mpneu00047	9151	9945	+	MPN007
mpneu09858	9168	9179	+	-1
mpneu20009	9128	9175	-	-1
mpneu20008	9176	9184	-	-1
mpneu20007	9188	9196	-	-1
mpneu25136	9091	9201	-	0
mpneu25135	9208	9240	-	-1
mpneu09859	9273	9374	+	0
mpneu04965	9275	9460	+	0
mpneu20006	9212	9301	-	0
mpneu30052	9333	9341	-	-1
mpneu25134	9259	9432	-	0
mpneu30051	9345	9482	-	0
mpneu04966	9503	9595	+	0
mpneu25133	9499	9513	-	-1
mpneu25132	9562	9588	-	-1
mpneu25131	9616	9627	-	-1
mpneu04967	9668	9673	+	-1
mpneu04968	9674	9718	+	-1
mpneu25130	9682	9687	-	-1
mpneu20005	9665	9691	-	-1
mpneu20004	9728	9736	-	-1
mpneu30050	9525	9764	-	0
mpneu09860	9777	9791	+	-1
mpneu25129	9715	9795	-	0
mpneu25128	9796	9819	-	-1
mpneu20003	9899	9907	-	-1
mpneu04969	9923	11275	+	MPN008
mpneu30049	9840	9935	-	0
mpneu09861	9969	10055	+	0
mpneu20002	9935	10006	-	0
mpneu25127	9874	10008	-	0
mpneu20001	10016	10093	-	0
mpneu00048	10099	10149	+	-1
mpneu09862	10107	10217	+	0
mpneu25126	10033	10116	-	0
mpneu30048	10146	10160	-	-1
mpneu00049	10198	10308	+	0
mpneu20000	10103	10204	-	0
mpneu25125	10168	10224	-	-1
mpneu09863	10233	10247	+	-1
mpneu19999	10244	10270	-	-1
mpneu25124	10294	10302	-	-1
mpneu19998	10316	10324	-	-1
mpneu09864	10374	10385	+	-1
mpneu09865	10386	10394	+	-1
mpneu19997	10391	10402	-	-1
mpneu09866	10404	10418	+	-1
mpneu19996	10424	10444	-	-1
mpneu09867	10491	10538	+	-1
mpneu30047	10335	10514	-	0
mpneu19995	10445	10543	-	0
mpneu09868	10563	10661	+	0
mpneu19994	10547	10570	-	-1
mpneu19993	10577	10582	-	-1
mpneu19992	10658	10666	-	-1
mpneu09869	10710	10733	+	-1
mpneu09870	10785	10844	+	0
mpneu19991	10730	10810	-	0
mpneu25123	10474	10827	-	0
mpneu09871	10860	10904	+	-1
mpneu19990	10901	10936	-	-1
mpneu25122	10849	10986	-	0
mpneu19989	10949	11002	-	-1
mpneu30046	10890	11006	-	0
mpneu09872	11007	11021	+	-1
mpneu19988	11018	11026	-	-1
mpneu19987	11030	11035	-	-1
mpneu09873	11046	11072	+	-1
mpneu09874	11076	11111	+	-1
mpneu00050	11080	11136	+	-1
mpneu19986	11069	11101	-	-1
mpneu30045	11073	11108	-	-1
mpneu19985	11117	11125	-	-1
mpneu19984	11129	11143	-	-1
mpneu09875	11157	11168	+	-1
mpneu09876	11169	11267	+	0
mpneu19983	11165	11176	-	-1
mpneu25121	11065	11226	-	0
mpneu19982	11177	11257	-	0
mpneu00051	11260	11271	+	-1
mpneu00052	11275	12060	+	MPN009
mpneu04970	11285	11305	+	-1
mpneu25120	11227	11301	-	0
mpneu04971	11309	11359	+	-1
mpneu25119	11317	11331	-	-1
mpneu04972	11360	11368	+	-1
mpneu04973	11375	11395	+	-1
mpneu25118	11392	11406	-	-1
mpneu04974	11408	11422	+	-1
mpneu25117	11419	11433	-	-1
mpneu25116	11440	11466	-	-1
mpneu04975	11471	11494	+	-1
mpneu25115	11491	11505	-	-1
mpneu19981	11468	11542	-	0
mpneu30044	11250	11546	-	0
mpneu09877	11550	11588	+	-1
mpneu04976	11555	11638	+	0
mpneu30043	11580	11585	-	-1
mpneu25114	11521	11634	-	0
mpneu04977	11669	11716	+	-1
mpneu25113	11653	11685	-	-1
mpneu25112	11713	11742	-	-1
mpneu04978	11750	11773	+	-1
mpneu30042	11592	11762	-	0
mpneu04979	11828	11896	+	0
mpneu25111	11800	11859	-	0
mpneu04980	11897	11920	+	-1
mpneu19980	11873	11923	-	-1
mpneu09878	11949	11996	+	-1
mpneu04981	11963	12010	+	-1
mpneu25110	11917	12000	-	0
mpneu04982	12029	12067	+	-1
mpneu25109	12007	12036	-	-1
mpneu30041	11913	12044	-	0
mpneu09879	12054	12080	+	-1
mpneu04983	12092	12169	+	0
mpneu19979	12077	12109	-	-1
mpneu09880	12129	12134	+	-1
mpneu09881	12147	12257	+	0
mpneu30040	12126	12152	-	-1
mpneu25108	12070	12156	-	0
mpneu00053	12205	12210	+	-1
mpneu19978	12191	12226	-	-1
mpneu00054	12250	12279	+	-1
mpneu04984	12257	12652	+	MPN010
mpneu25107	12262	12303	-	-1
mpneu09882	12321	12329	+	-1
mpneu00055	12331	12342	+	-1
mpneu09883	12345	12371	+	-1
mpneu00056	12364	12411	+	-1
mpneu09884	12381	12491	+	0
mpneu30039	12312	12401	-	0
mpneu09885	12504	12620	+	0
mpneu19977	12368	12592	-	0
mpneu25106	12319	12648	-	0
mpneu09886	12681	12725	+	-1
mpneu00057	12697	12777	+	0
mpneu30038	12669	12728	-	0
mpneu19976	12722	12736	-	-1
mpneu04985	12761	12829	+	0
mpneu00058	12793	12816	+	-1
mpneu30037	12774	12800	-	-1
mpneu25105	12751	12810	-	0
mpneu19975	12830	12838	-	-1
mpneu30036	12813	12845	-	-1
mpneu00059	12877	12963	+	0
mpneu30035	12855	12890	-	-1
mpneu04986	12893	12907	+	-1
mpneu04987	12923	13006	+	0
mpneu30034	12891	12950	-	0
mpneu19974	12941	12970	-	-1
mpneu00060	12970	12987	+	-1
mpneu09887	13020	13028	+	-1
mpneu09888	13029	13052	+	-1
mpneu04988	13067	13075	+	-1
mpneu00061	13075	13263	+	0
mpneu04989	13079	13111	+	-1
mpneu09889	13128	13157	+	-1
mpneu19973	13049	13129	-	0
mpneu04990	13130	13348	+	0
mpneu09890	13182	13220	+	-1
mpneu19972	13247	13255	-	-1
mpneu00062	13294	13311	+	-1
mpneu30033	12960	13307	-	0
mpneu00063	13375	13401	+	-1
mpneu04991	13448	13561	+	0
mpneu19971	13472	13477	-	-1
mpneu30032	13398	13481	-	0
mpneu09891	13506	13526	+	-1
mpneu25104	12838	13533	-	MPN011
mpneu30031	13533	13541	-	-1
mpneu09892	13590	13619	+	-1
mpneu00064	13603	13611	+	-1
mpneu04992	13649	13846	+	0
mpneu00065	13669	13938	+	0
mpneu09893	13674	13685	+	-1
mpneu19970	13550	13681	-	0
mpneu09894	13686	13736	+	-1
mpneu19969	13682	13708	-	-1
mpneu30030	13659	13718	-	0
mpneu09895	13767	13781	+	-1
mpneu09896	13782	13862	+	0
mpneu19968	13778	13858	-	0
mpneu30029	13746	13883	-	0
mpneu30028	13884	13931	-	-1
mpneu04993	13958	13972	+	-1
mpneu09897	13965	13994	+	-1
mpneu30027	13947	14003	-	-1
mpneu30026	14007	14042	-	-1
mpneu09898	14055	14075	+	-1
mpneu04994	14057	14083	+	-1
mpneu04995	14129	14209	+	0
mpneu30025	14133	14150	-	-1
mpneu00066	14155	14187	+	-1
mpneu09899	14226	14258	+	-1
mpneu09900	14265	14327	+	0
mpneu25103	13558	14265	-	MPN012
mpneu00067	14287	14310	+	-1
mpneu19967	14285	14293	-	-1
mpneu04996	14327	14350	+	-1
mpneu00068	14335	14358	+	-1
mpneu19966	14324	14368	-	-1
mpneu25102	14347	14370	-	-1
mpneu30024	14184	14387	-	0
mpneu04997	14408	14437	+	-1
mpneu09901	14451	14555	+	0
mpneu04998	14459	14473	+	-1
mpneu04999	14501	14620	+	0
mpneu00069	14524	14559	+	-1
mpneu30023	14496	14552	-	-1
mpneu00070	14566	14607	+	-1
mpneu25101	14572	14586	-	-1
mpneu09902	14592	14612	+	-1
mpneu09903	14664	14705	+	-1
mpneu05000	14675	14695	+	-1
mpneu19965	14645	14701	-	-1
mpneu09904	14709	14714	+	-1
mpneu30022	14634	14720	-	0
mpneu05001	14726	14992	+	0
mpneu09905	14754	14825	+	0
mpneu00071	14758	14808	+	-1
mpneu19964	14750	14815	-	0
mpneu30021	14805	14828	-	-1
mpneu09906	14844	14963	+	0
mpneu25100	14800	14940	-	0
mpneu30020	14904	14948	-	-1
mpneu09907	14967	14999	+	-1
mpneu00072	14992	15765	+	MPN013
mpneu19963	15020	15040	-	-1
mpneu05002	15062	15139	+	0
mpneu05003	15173	15376	+	0
mpneu09908	15180	15191	+	-1
